,Clause,mainVerb,mainReferent,Gold,predictions
0,No More Kisses,,,CANNOT_DECIDE,['CANNOT_DECIDE']
1,"In light of Secretary of State Albright's imminent trip to the middle east, the New York Times , Los Angeles Times and Washington Post emphasize the deteriorating situation there.",emphasize,Post,DYNAMIC,['DYNAMIC']
2,But USA Today stays with Princess Di.,stays,Today,STATIVE,['DYNAMIC']
3,The NYT states,states,NYT,DYNAMIC,['STATIVE']
4,"that when Albright shows up on Tuesday,",shows,Albright,DYNAMIC,['DYNAMIC']
5,"she will ""read the riot act"" to Yassir Arafat",read,she,DYNAMIC,['DYNAMIC']
6,about cracking down on terrorism.,cracking,she,CANNOT_DECIDE,['STATIVE']
7,"Her goal will be to get Arafat to come out decisively and publicly for peace with Israel,",be,goal,STATIVE,['DYNAMIC']
8,telling him,telling,,DYNAMIC,['DYNAMIC']
9,"that there can be no more attempts at co-opting Hamas, and ""no more kisses"" of its leaders.",be,,STATIVE,['STATIVE']
10,The Times emphasizes the larger geopolitical context.,emphasizes,Times,DYNAMIC,['DYNAMIC']
11,Given,Given,states,CANNOT_DECIDE,['CANNOT_DECIDE']
12,"that the troubles on the West Bank have not only frosted relations between Arafat and Israel, but also those between Israel and Egypt and between Israel and Saudi Arabia,",frosted,troubles,DYNAMIC,['DYNAMIC']
13,the paper states that the U.S. is now facing the prospect that the moderate Arab coalition,states,paper,STATIVE,['STATIVE']
14,it built after the Persian Gulf war to contain Iraq and Iran is falling apart.,falling,prospect,DYNAMIC,['STATIVE']
15,"The LAT focuses on new dissension within the Israeli government about whether or not Israel should continue to maintain forces in southern Lebanon, dissension",focuses,LAT,STATIVE,['STATIVE']
16,fueled,fueled,dissension,DYNAMIC,['CANNOT_DECIDE']
17,"when an Israeli commando raid there late last week was ambushed, with twelve deaths the result.",was,raid,DYNAMIC,['DYNAMIC']
18,Perhaps the most striking indicator of a change of mood inside the government reported by the paper is the news,is,indicator,STATIVE,['STATIVE']
19,"that cabinet member Ariel Sharon, who as Defense Minister in 1982 got Israel entrenched in Lebanon in the first place,",got,Sharon,DYNAMIC,['DYNAMIC']
20,is among those,is,Sharon,STATIVE,['STATIVE']
21,urging a reconsideration of the deployment.,urging,those,DYNAMIC,['DYNAMIC']
22,Several papers have word,have,papers,STATIVE,['DYNAMIC']
23,"that H and R Block has finally wriggled out of its controlling stake of Compuserve,",wriggled,Block,DYNAMIC,['DYNAMIC']
24,but it's the Post with the news,'s,it,STATIVE,['STATIVE']
25,that AOL is set to take it over.,set,AOL,STATIVE,['STATIVE']
26,"The Wall Street Journal ""Outlook"" observes,",observes,Journal,DYNAMIC,['DYNAMIC']
27,"""In the U.S. job market, the balance of power is shifting to employees from employers,""",shifting,Journal,DYNAMIC,['DYNAMIC']
28,and states,,,DYNAMIC,['CANNOT_DECIDE']
29,"that ""the retention frenzy was triggered in part by previous waves of corporate downsizing,""",triggered,frenzy,DYNAMIC,['DYNAMIC']
30,which left behind survivors,left,triggered,DYNAMIC,['DYNAMIC']
31,who took stock of career options and used Internet job listings,took,survivors,DYNAMIC,['DYNAMIC']
32,"and intensified recruiting to land better offers,",intensified,which,DYNAMIC,['DYNAMIC']
33,which in turn led to counter-offers and higher salaries.,led,Journal,DYNAMIC,['DYNAMIC']
34,"This has led,",led,This,DYNAMIC,['DYNAMIC']
35,"says the Journal , to annual compensation rising 5-6 percent a year.",says,Journal,DYNAMIC,['DYNAMIC']
36,Much of the continuing Diana coverage is spinning off into the realm of meta- and meta-meta-pieces.,spinning,Much,DYNAMIC,['DYNAMIC']
37,"The LAT , for instance, examines",examines,LAT,DYNAMIC,['STATIVE']
38,"what it takes to be a new ""cuddly-feely"" Britain born of the national grief experience.",takes,it,STATIVE,['STATIVE']
39,But USAT and the WP also each run pretty newsy Diana pieces as well.,run,USAT,DYNAMIC,['STATIVE']
40,Both reveal,reveal,Both,DYNAMIC,['DYNAMIC']
41,"that Tony Blair had conferred with Diana about a goodwill ambassador job shortly before her death,",conferred,Blair,DYNAMIC,['DYNAMIC']
42,and USAT reports,reports,Both,DYNAMIC,['CANNOT_DECIDE']
43,that Le Figaro says,says,Figaro,DYNAMIC,['DYNAMIC']
44,a dying Diana gave two crash witnesses a message for her family and children.,gave,Diana,DYNAMIC,['DYNAMIC']
45,Give the NYT credit for getting Mother Teresa back on the front page and a bonus point for including some criticism of her in the story.,Give,,CANNOT_DECIDE,['DYNAMIC']
46,"""Not everyone in Calcutta, or India for that matter, is unanimous in praising the nun,",is,everyone,STATIVE,['STATIVE']
47,whose organization was able to raise millions of dollars worldwide,was,organization,STATIVE,['DYNAMIC']
48,but made virtually no significant changes in the social structure of this collapsing city's poor neighborhoods.,made,organization,DYNAMIC,['DYNAMIC']
49,Salvation -- hers and that of the destitute she rescued from the gutters --,rescued,she,DYNAMIC,['DYNAMIC']
50,"was her aim, not economic or social development",was,Salvation,STATIVE,['STATIVE']
51,"as many others understand it,",understand,development,STATIVE,['STATIVE']
52,"she said.""",said,she,DYNAMIC,['DYNAMIC']
53,"It's odd,",'s,It,STATIVE,['STATIVE']
54,"however, that in repeating this charge, the Times didn't interview the man",interview,Times,DYNAMIC,['DYNAMIC']
55,"most closely associated with it, Christopher Hitchens,",associated,man,STATIVE,['STATIVE']
56,or refer to the book,refer,Times,CANNOT_DECIDE,['DYNAMIC']
57,"where he set it out, The Missionary Position .",set,he,DYNAMIC,['DYNAMIC']
58,"Hmmm, wanna bet there was a copy of the book on somebody's desk at the Times though?",bet,na,CANNOT_DECIDE,['CANNOT_DECIDE']
59,What's with the top-of-the-front headline,'s,What,CANNOT_DECIDE,['CANNOT_DECIDE']
60,the LAT puts over its picture of Martina Hingis standing next to Venus Williams after beating her at the U.S. Open --,puts,LAT,DYNAMIC,['DYNAMIC']
61,"""Venus Brought Back to Earth""?",,,CANNOT_DECIDE,['CANNOT_DECIDE']
62,Doesn't that sound like celebrating a defeat,sound,that,CANNOT_DECIDE,['CANNOT_DECIDE']
63,rather than celebrating a victory?,celebrating,defeat,CANNOT_DECIDE,['CANNOT_DECIDE']
64,"How odd -- and a good illustration of how trying to shoe-horn in a ""witty"" headline can drive you into an idea",drive,illustration,DYNAMIC,['STATIVE']
65,that doesn't fit,fit,idea,STATIVE,['STATIVE']
66,or is undeserved.,is,idea,STATIVE,['STATIVE']
67,Given that Ms. Williams' parents are rather protective of her,Given,surprised,STATIVE,['STATIVE']
68,"and that she is a black in a still pretty-lilly-white sport, don't be surprised",surprised,,STATIVE,['STATIVE']
69,if there's a bit of a complaint about this.,'s,bit,STATIVE,['STATIVE']
