Clause,mainVerb,mainReferent,Gold
Tonal Structure and Form in Bartks Concerto for Orchestra (I),,,CANNOT_DECIDE
Drew F. Nobile,,,CANNOT_DECIDE
University of Washington,,,CANNOT_DECIDE
"Before beginning an analysis of any piece by Bla Bartk, one must first decide to what degree tonal analysis will be used.",decide,one,DYNAMIC
"Bartks music, although it is often difficult to call completely tonal, never entirely sheds itself of tonal elements and structure.",sheds,music,DYNAMIC
"This remains true even with one of his last compositions, the Concerto for Orchestra, written two years before his death in 1943.",remains,This,STATIVE
"The discussion that follows analyzes the first movement of the Concerto,",analyzes,discussion,DYNAMIC
focusing on the tonal structures at play throughout the movement.,focusing,discussion,DYNAMIC
"The analysis will treat the movement tonally,",treat,analysis,DYNAMIC
investigating the progression of local tonics and its relationship to the overall form.,investigating,analysis,DYNAMIC
We will also examine to what degree a tonal reading of this movement is limited in its analytical potential in an attempt to pinpoint,examine,We,DYNAMIC
exactly where Bartk strays from common-practice compositional techniques.,strays,Bartók,DYNAMIC
Harmonic Structure and Form,,,CANNOT_DECIDE
Bartk describes the form of the first movement as more or less regular sonata form.,describes,Bartók,DYNAMIC
"Bartk, 431.",,,CANNOT_DECIDE
"While that does not seem to be a meaningful assertion,",seem,that,STATIVE
it is perfectly accurate:,is,it,STATIVE
"the movement is in sonata form,",is,movement,STATIVE
but there is an introduction,is,movement,STATIVE
"that does not relate thematically to any other parts of the movement (not unheard of in Mozart sonatas),",relate,introduction,STATIVE
and the recapitulation presents the two themes of the exposition in reverse order.,presents,movement,DYNAMIC
The backwards recapitulation is a technique,is,recapitulation,STATIVE
that Bartk employs frequently because of the formal symmetry,employs,Bartók,DYNAMIC
it creates.,creates,it,DYNAMIC
"For example, the fifth string quartet.",,,CANNOT_DECIDE
"Also see Bartks comments on that (Bartk, 414).",see,,CANNOT_DECIDE
Example 1 shows a diagram of the form of the movement;,shows,Example,DYNAMIC
the symmetry is apparent within the seven sections following the introduction.,is,symmetry,STATIVE
"As the example shows,",,,STATIVE
the development section is divided into three subsections;,divided,section,STATIVE
"the first and third subsections draw their thematic material from the first theme group,",draw,subsections,DYNAMIC
and the second subsection involves new material,involves,subsections,STATIVE
not drawn from the exposition.,drawn,material,DYNAMIC
"Hence, on either side of the middle section of the development we have the alternation FTG-STG-FTG",have,we,STATIVE
"which makes the overall form, with the exception of the Introduction, symmetric.",makes,FTG-STG-FTG,DYNAMIC
"Paul Wilson also discusses the inherent symmetry of the movement,",discusses,Wilson,DYNAMIC
although his interpretation is somewhat different.,is,interpretation,STATIVE
"See Wilson, 168-170.",,,CANNOT_DECIDE
|| Intro | FTG | STG | Dev I (FTG),|,FTG,CANNOT_DECIDE
| Dev II (new) | Dev III (FTG) | STG | FTG ||,,,CANNOT_DECIDE
"The abbreviations FTG and STG stand for First Theme Group and Second Theme Group, respectively.",stand,STG,STATIVE
example 1: formal structure of the first movement,,,CANNOT_DECIDE
"Sonata formor, more-or-less sonata formcarries harmonic as well as formal connotations.",—,example,STATIVE
"While tonality in this piece (and in Bartks music in general) is quite different from its classical interpretation,",is,”,STATIVE
we find,find,we,STATIVE
that the harmonic structure is at least analogous to the standard sonata-form structure.,is,structure,STATIVE
"To begin with,",begin,,CANNOT_DECIDE
the movement is in F.,is,movement,STATIVE
"When we say in F,",say,we,DYNAMIC
 we do not imply,imply,we,DYNAMIC
"F major (or minor, for that matter)",,,CANNOT_DECIDE
the major/minor tonal system in general does not apply to this piecebut,—,”,STATIVE
"rather that the pitch-class F is the tonal center of the movement,",is,F,STATIVE
and acts analogously to the tonic in a Mozartian sonata movement.,acts,”,DYNAMIC
"Using this interpretation,",Using,we,DYNAMIC
"we can map out the local tonics (tonal centers) used throughout the movement,",map,we,DYNAMIC
as shown in Example 2.,shown,,STATIVE
example 2: harmonic structure of the first movement,,,CANNOT_DECIDE
"In this example, the barlines divide the formal sections of the piece",divide,barlines,STATIVE
(IntroductionExpositionDevelopmentRecapitulation)so,,,CANNOT_DECIDE
we can immediately see,see,we,DYNAMIC
that the tonic F is not established,established,F,STATIVE
until the exposition begins.,begins,exposition,DYNAMIC
"Beginning with the exposition, the large-scale progression of tonal centers is a whole-tone descent from F to F,",is,progression,STATIVE
"represented by the stemmed notes in Example 2,",represented,F,STATIVE
while the Introduction ascends from C to F through D (shown as D and E in the graph) in a quasi-bass Anstieg.,ascends,Introduction,DYNAMIC
"The middle pitch of the descent, B, acts as the dominant to F,",acts,pitch,DYNAMIC
based on its symmetrical division of the whole-tone scale and the fact,based,F,STATIVE
that the second theme appears in B in the exposition.,appears,theme,DYNAMIC
"Bartk has often applied a tonic-dominant relationship to a pitch-class and its tritone partner,",applied,Bartók,DYNAMIC
and even admits to using that as a compositional framework in his fifth string quartet.,admits,Bartók,DYNAMIC
"See Bartk, 414-415.",,,CANNOT_DECIDE
"In this particular movement, Bartk feigns moving to the tonal dominant, C, for the second theme before reinterpreting C as a chromatic passing tone between D and Bthis and other subtleties",feigns,Bartók,DYNAMIC
shown in Example 2 will be explained in detail in later sections.,explained,this,DYNAMIC
Paul Wilson gives a detailed account of the foreground activity throughout this movement in his analysis;,gives,Wilson,DYNAMIC
we do not seek to duplicate or substitute for his findings.,seek,we,STATIVE
Our analysis will focus instead on relating the foreground activity to the overarching background structure.,focus,analysis,DYNAMIC
