Clause,mainVerb,mainReferent,Gold
"Dear Friend of Animals,",,,CANNOT_DECIDE
I hope,hope,Friend,STATIVE
"youll use the enclosed name labels, and colorful pet stickers,",’ll,you,DYNAMIC
designed especially for friends of animals.,designed,labels,STATIVE
Your name -- and the name of The Humane Society of the United States (HSUS) --,,,CANNOT_DECIDE
are very important to the well-being of all animals,are,name,STATIVE
because together we can prevent suffering,prevent,we,DYNAMIC
and save lives.,save,we,CANNOT_DECIDE
I wish,wish,I,STATIVE
I could tell you,tell,I,DYNAMIC
"that everyone is concerned about protecting earths animals -- dogs, cats, farm animals and wildlife.",is,everyone,STATIVE
The sad truth is animal,is,truth,STATIVE
"cruelty, abuse and neglect continues at an alarming rate across the nation and even in your own community.",continues,cruelty,CANNOT_DECIDE
"Every day of the year, The Humane Society of the United States receives reports about all kinds of animal cruelties, such as the horrors of the leghold trap; the use of dog and cat fur; needless or repetitive experiments on animals; and the abusive treatment of dogs and cats.",receives,day,DYNAMIC
Still others are less obvious but just as horrible;,are,others,STATIVE
dogs fighting to the death for the benefit of blood thirsty gamblers;,fighting,others,DYNAMIC
baby calves confined and malnourished to provide milk-fed veal for the gourmet; and the accidental drowning of porpoises in the nets of tuna fishermen.,confined,others,DYNAMIC
"And almost 6,000,000 companion pets are put to death in shelters throughout America.",put,pets,DYNAMIC
"What is even more shocking, is that more than 30 million animals die these cruel, painful deaths each year ... needless deaths",is,What,STATIVE
that could have been stopped!,stopped,deaths,DYNAMIC
"And with so much animal cruelty and suffering going on, Im sure",’m,I,STATIVE
you can understand,understand,you,STATIVE
why the work of The Humane Society of the United States is so vitally important,is,work,STATIVE
"and why we need the support of many other people, like you, to help us bring an end to animal suffering, abuse and neglect.",need,work,STATIVE
"Since 1954, our programs and activities have been aimed at stopping and eliminating all animal abuse",aimed,activities,STATIVE
and we continue to spend a great deal of time,continue,programs,DYNAMIC
investigating animal cruelty cases,investigating,spend,DYNAMIC
and working with the courts to prosecute the guilty parties.,working,spend,DYNAMIC
"We also work hard and lobby for better animal welfare laws at the local, state and federal government levels",work,We,DYNAMIC
and we insist they enforce existing laws to prevent animal cruelty.,insist,We,STATIVE
"Our primary goal, though, has always been to stop the cruel and inhumane treatment of animals",been,goal,STATIVE
"before it happens,",happens,it,DYNAMIC
"so we teach the public about the need to protect all animals from suffering, abuse and exploitation.",teach,we,DYNAMIC
"But while our programs and activities have been successful in reducing animal cruelty,",been,programs,STATIVE
we are constantly faced with new problems of animal suffering,faced,we,DYNAMIC
which need immediate attention,need,suffering,STATIVE
and drain our resources.,drain,suffering,DYNAMIC
"Its a difficult problem,",’s,It,STATIVE
"because we have to fight the well-financed and powerful agri-business and research industries,",have,we,STATIVE
but we do our best to protect the animals.,do,It,DYNAMIC
"Right now, the problems are mounting",mounting,problems,DYNAMIC
and we need all the help,need,problems,STATIVE
we can get to stop animal cruelty.,get,we,DYNAMIC
And thats where you can help.,’s,that,DYNAMIC
You can be a lifesaving friend to all animals by telling friends and family about the important work of The HSUS,be,You,STATIVE
and asking them to become vigilant in safe-guarding the lives of ALL animals.,asking,”,DYNAMIC
"Today, we are placing special emphasis on pet adoption.",placing,we,DYNAMIC
I hope,hope,I,STATIVE
you will visit your local animal shelter,visit,you,DYNAMIC
and consider adopting a dog or cat into your home.,consider,you,DYNAMIC
Its a wonderful way to enjoy their companionship,’s,It,STATIVE
"and save the life of a loving animal, too.",save,It,CANNOT_DECIDE
I also hope,hope,I,STATIVE
you will give a big boost to our work to protect all animals by sending a generous tax-deductible donation today.,give,you,DYNAMIC
"Your gift of at least $5 or $10 or even $15, will help The HSUS save millions of animals.",help,gift,DYNAMIC
I know,know,I,STATIVE
you care deeply for the well-being of all animals.,care,you,STATIVE
Please help us carry this message to others,help,,CANNOT_DECIDE
so that animal cruelty and abuse can be eliminated.,eliminated,abuse,DYNAMIC
"Sincerely,",,,CANNOT_DECIDE
President,,,CANNOT_DECIDE
P.S.,,,CANNOT_DECIDE
We are totally committed to putting an end to all forms of animal cruelty and neglect.,committed,We,STATIVE
But your help of $5 or $10 or even $15 is absolutely needed today.,needed,help,STATIVE
"Please take this moment to be as generous as possible to send your best gift today,",take,,CANNOT_DECIDE
and dont forget to use your free colorful pet stickers and name labels,forget,,CANNOT_DECIDE
enclosed.,enclosed,stickers,STATIVE
Thanks in advance.,Thanks,,CANNOT_DECIDE
