Clause,mainVerb,mainReferent,Gold
Robert Heinrich Herman Koch (; k; 11 December 1843  27 May 1910),,,CANNOT_DECIDE
was a celebrated German physician and pioneering microbiologist.,was,Koch,STATIVE
"The founder of modern bacteriology, he is known for his role in identifying the specific causative agents of tuberculosis, cholera, and anthrax and for giving experimental support for the concept of infectious disease.",known,founder,STATIVE
"In addition to his trail-blazing studies on these diseases, Koch created and improved laboratory technologies and techniques in the field of microbiology,",created,Koch,DYNAMIC
and made key discoveries in public health.,made,Koch,DYNAMIC
"His research led to the creation of Kochs postulates, a series of four generalized principles",led,research,DYNAMIC
linking specific microorganisms to specific diseases,linking,led,STATIVE
"that remain today the ""gold standard"" in medical microbiology.",remain,diseases,STATIVE
"As a result of his groundbreaking research on tuberculosis, Koch received the Nobel Prize in Physiology or Medicine in 1905.",received,Koch,DYNAMIC
==Personal life==,,,CANNOT_DECIDE
"Robert Koch was born in Clausthal, Hanover, Germany, on 11 December 1843, to Hermann Koch and Mathilde Julie Henriette Biewand.",born,Koch,DYNAMIC
Koch excelled in academics from an early age.,excelled,Koch,DYNAMIC
"Before entering school in 1848,",entering,he,DYNAMIC
he had taught himself,taught,he,DYNAMIC
how to read and write.,read,himself,CANNOT_DECIDE
"He graduated from high school in 1862,",graduated,He,DYNAMIC
having excelled in science and maths.,having,,DYNAMIC
"At the age of 19, Koch entered the University of Gttingen,",entered,Koch,DYNAMIC
studying natural science.,studying,Koch,DYNAMIC
"However, after two semesters, Koch decided to change his area of study to medicine,",decided,Koch,DYNAMIC
as he aspired to be a physician.,aspired,he,STATIVE
"During his fifth semester of medical school, Jacob Henle, an anatomist who had published a theory of contagion in 1840, asked him to participate in his research project on uterine nerve structure.",asked,Henle,DYNAMIC
"In his sixth semester, Koch began to conduct research at the Physiological Institute,",began,Koch,DYNAMIC
where he studied succinic acid secretion.,studied,he,DYNAMIC
This would eventually form the basis of his dissertation.,form,This,DYNAMIC
